current_path	legacy_path	kind	dictionary_class	status	current_bytes	current_lines	current_sha256	legacy_bytes	legacy_lines	legacy_sha256	note
data/wordlists/categories/common-and-dutch_short.txt	source/categories/common-and-dutch_short.txt	wordlist-category	typed-category	EXACT	36086	4388	8f3fbeebb525adef01d46003ac58d4d3679b23dd159ae9af8e5d885f794e3c37	36086	4388	8f3fbeebb525adef01d46003ac58d4d3679b23dd159ae9af8e5d885f794e3c37	mapped to pinned source
data/wordlists/categories/common-and-french_short.txt	source/categories/common-and-french_short.txt	wordlist-category	typed-category	EXACT	38434	4906	99aa516d70a675478fd5e3ee4907229ffcdb7569ec9594d2008001fcb41355db	38434	4906	99aa516d70a675478fd5e3ee4907229ffcdb7569ec9594d2008001fcb41355db	mapped to pinned source
data/wordlists/categories/common-and-italian_short.txt	source/categories/common-and-italian_short.txt	wordlist-category	typed-category	EXACT	40318	5070	723c4aa004fc458ac9c372fdc4342bdd569eab20127e7fbe706e075f4399a15e	40318	5070	723c4aa004fc458ac9c372fdc4342bdd569eab20127e7fbe706e075f4399a15e	mapped to pinned source
data/wordlists/categories/common-and-portuguese_short.txt	source/categories/common-and-portuguese_short.txt	wordlist-category	typed-category	EXACT	38653	4940	1a618f78a82a5c5459c9836ed461b4783fc0bd84584696e0ae4a01200662942b	38653	4940	1a618f78a82a5c5459c9836ed461b4783fc0bd84584696e0ae4a01200662942b	mapped to pinned source
data/wordlists/categories/common-and-spanish_short.txt	source/categories/common-and-spanish_short.txt	wordlist-category	typed-category	EXACT	39018	4986	7600845f271823c4aa2fe7b8825b4c31a13848310164405edcae134b5f928185	39018	4986	7600845f271823c4aa2fe7b8825b4c31a13848310164405edcae134b5f928185	mapped to pinned source
data/wordlists/categories/common-api-endpoints_short.txt	source/categories/common-api-endpoints_short.txt	wordlist-category	typed-category	EXACT	1164	174	cd774e12b54e075ac7c34b95b9f2ad908461e0ae43c57fc82976020575adb059	1164	174	cd774e12b54e075ac7c34b95b9f2ad908461e0ae43c57fc82976020575adb059	mapped to pinned source
data/wordlists/categories/common-db-backups_short.txt	source/categories/common-db-backups_short.txt	wordlist-category	typed-category	EXACT	4407	324	e3454ed4927c406d2ab96dd1e0bc23d8cef7b797d4c2db4e6fcb3dfff9e4f437	4407	324	e3454ed4927c406d2ab96dd1e0bc23d8cef7b797d4c2db4e6fcb3dfff9e4f437	mapped to pinned source
data/wordlists/categories/common-methods_short.txt	source/categories/common-methods_short.txt	wordlist-category	typed-category	EXACT	734	101	ad74b7cea40dce04eba0c709b9566c0c220adb83641ea77421ceaf9fa73fe991	734	101	ad74b7cea40dce04eba0c709b9566c0c220adb83641ea77421ceaf9fa73fe991	mapped to pinned source
data/wordlists/categories/common_short.txt	source/categories/common_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	42123	4689	382e22a82791fea2f5d89109e3215a5461bf10b0bfc45541aa9b990ce2af2e27	42122	4689	8fde531e8ab422e3b32254866a84bb7b4d9a4f7b174f2359f25bb2c41f497d9b	mapped to pinned source
data/wordlists/categories/commonmethodnames_short.txt	source/categories/commonmethodnames_short.txt	wordlist-category	typed-category	EXACT	443	77	fb76b02d8f5e2558a2a9a2fb4d7afd82b2476026945ea197636c0aafed14a3a1	443	77	fb76b02d8f5e2558a2a9a2fb4d7afd82b2476026945ea197636c0aafed14a3a1	mapped to pinned source
